68509, -2.76, 998.59, 41.46
68584, -2.73, 998.52, 41.47
68659, -2.76, 998.62, 41.47
68733, -2.83, 998.58, 41.46
68807, -3.05, 998.60, 41.46
68882, -2.96, 998.60, 41.47
68957, -3.05, 998.56, 41.47
69031, -2.80, 998.61, 41.47
69106, -2.76, 998.59, 41.47
69181, -3.28, 998.58, 41.47
69256, -3.31, 998.60, 41.47
69330, -2.99, 998.62, 41.46
69405, -3.09, 998.57, 41.47
69480, -3.05, 998.59, 41.49
69554, -2.70, 998.53, 41.48
69634, -2.73, 998.53, 41.47
69708, -3.02, 998.57, 41.47
69782, -2.93, 998.56, 41.47
69857, -2.76, 998.55, 41.46
69932, -2.80, 998.60, 41.46
70006, -3.28, 998.54, 41.47
70081, -2.83, 998.52, 41.47
70156, -3.05, 998.57, 41.46
70231, -3.09, 998.60, 41.49
70305, -3.05, 998.56, 41.47
70380, -3.05, 998.60, 41.48
70455, -3.02, 998.58, 41.48
70529, -3.12, 998.58, 41.47
70603, -2.99, 998.60, 41.49
70678, -2.74, 998.59, 41.48
70753, -2.96, 998.57, 41.47
70828, -3.29, 998.65, 41.47
70906, -3.57, 998.55, 41.47
70981, -3.38, 998.58, 41.47
71056, -3.05, 998.63, 41.47
71131, -3.02, 998.62, 41.47
71205, -3.38, 998.59, 41.47
71280, -3.35, 998.63, 41.47
71355, -2.86, 998.57, 41.47
71430, -2.95, 998.56, 41.49
71503, -2.96, 998.52, 41.47
71578, -2.86, 998.54, 41.47
71653, -2.83, 998.59, 41.47
71728, -2.54, 998.57, 41.47
71802, -2.74, 998.55, 41.47
71877, -2.57, 998.57, 41.49
71952, -2.81, 998.54, 41.47
72027, -3.13, 998.57, 41.49
72101, -2.83, 998.56, 41.49
72180, -2.67, 998.57, 41.47
72255, -2.93, 998.53, 41.47
72330, -2.87, 998.60, 41.47
72404, -2.99, 998.60, 41.47
72478, -3.22, 998.57, 41.48
72553, -2.96, 998.63, 41.47
72628, -3.05, 998.58, 41.48
72702, -3.02, 998.60, 41.48
72777, -2.66, 998.59, 41.47
72852, -3.38, 998.60, 41.48
72927, -2.80, 998.61, 41.47
73001, -2.74, 998.56, 41.47
73076, -2.81, 998.56, 41.49
73151, -2.64, 998.53, 41.48
73225, -3.15, 998.60, 41.47
73299, -2.61, 998.56, 41.48
73374, -2.61, 998.58, 41.48
73453, -2.74, 998.56, 41.49
73528, -2.54, 998.60, 41.47
73603, -2.84, 998.59, 41.49
73677, -2.86, 998.59, 41.47
73752, -2.87, 998.58, 41.49
73827, -3.19, 998.61, 41.49
73902, -2.93, 998.57, 41.49
73976, -2.93, 998.57, 41.49
74051, -3.00, 998.62, 41.48
74126, -3.19, 998.61, 41.49
74200, -2.84, 998.58, 41.49
74274, -3.09, 998.59, 41.48
74349, -2.84, 998.61, 41.49
74424, -2.71, 998.55, 41.47
74499, -2.61, 998.59, 41.49
74573, -2.97, 998.55, 41.49
74648, -2.81, 998.57, 41.49
74727, -3.10, 998.60, 41.48
74802, -3.10, 998.59, 41.49
74876, -3.13, 998.60, 41.49
74951, -3.06, 998.57, 41.49
75025, -2.71, 998.57, 41.49
75100, -2.84, 998.56, 41.49
75174, -2.51, 998.58, 41.49
75249, -2.74, 998.57, 41.49
75324, -2.62, 998.54, 41.49
75399, -2.51, 998.54, 41.49
75473, -2.52, 998.53, 41.48
75548, -2.55, 998.52, 41.47
